period_type,period_value,field_name,total_records_n,missing_records_n,non_missing_records_n,missing_pct
crashFinancialYear,2003/2004,NumberOfLanes,37241,2,37239,0.0054
crashFinancialYear,2003/2004,areaUnitID,37241,0,37241,0
crashFinancialYear,2003/2004,crashLocation2,37241,0,37241,0
crashFinancialYear,2003/2004,directionRoleDescription,37241,0,37241,0
crashFinancialYear,2003/2004,fatalCount,37241,0,37241,0
crashFinancialYear,2003/2004,meshblockId,37241,0,37241,0
crashFinancialYear,2003/2004,minorInjuryCount,37241,0,37241,0
crashFinancialYear,2003/2004,seriousInjuryCount,37241,0,37241,0
crashFinancialYear,2003/2004,speedLimit,37241,0,37241,0
crashFinancialYear,2003/2004,tlaId,37241,0,37241,0
crashFinancialYear,2003/2004,tlaName,37241,0,37241,0
crashFinancialYear,2004/2005,region,38057,155,37902,0.4073
crashFinancialYear,2004/2005,NumberOfLanes,38057,10,38047,0.0263
crashFinancialYear,2004/2005,directionRoleDescription,38057,1,38056,0.0026
crashFinancialYear,2004/2005,fatalCount,38057,1,38056,0.0026
crashFinancialYear,2004/2005,minorInjuryCount,38057,1,38056,0.0026
crashFinancialYear,2004/2005,seriousInjuryCount,38057,1,38056,0.0026
crashFinancialYear,2004/2005,areaUnitID,38057,0,38057,0
crashFinancialYear,2004/2005,crashLocation2,38057,0,38057,0
crashFinancialYear,2004/2005,meshblockId,38057,0,38057,0
crashFinancialYear,2004/2005,speedLimit,38057,0,38057,0
crashFinancialYear,2004/2005,tlaId,38057,0,38057,0
crashFinancialYear,2004/2005,tlaName,38057,0,38057,0
crashFinancialYear,2005/2006,region,38717,136,38581,0.3513
crashFinancialYear,2005/2006,NumberOfLanes,38717,18,38699,0.0465
crashFinancialYear,2005/2006,directionRoleDescription,38717,4,38713,0.0103
crashFinancialYear,2005/2006,areaUnitID,38717,0,38717,0
crashFinancialYear,2005/2006,crashLocation2,38717,0,38717,0
crashFinancialYear,2005/2006,fatalCount,38717,0,38717,0
crashFinancialYear,2005/2006,meshblockId,38717,0,38717,0
crashFinancialYear,2005/2006,minorInjuryCount,38717,0,38717,0
crashFinancialYear,2005/2006,seriousInjuryCount,38717,0,38717,0
crashFinancialYear,2005/2006,speedLimit,38717,0,38717,0
crashFinancialYear,2005/2006,tlaId,38717,0,38717,0
crashFinancialYear,2005/2006,tlaName,38717,0,38717,0
crashFinancialYear,2006/2007,region,40825,122,40703,0.2988
crashFinancialYear,2006/2007,NumberOfLanes,40825,19,40806,0.0465
crashFinancialYear,2006/2007,directionRoleDescription,40825,1,40824,0.0024
crashFinancialYear,2006/2007,areaUnitID,40825,0,40825,0
crashFinancialYear,2006/2007,crashLocation2,40825,0,40825,0
