OBJECTID,issue_category,check_name,field_name,issue_level,issue_detail
88881,completeness,core_field_missing,region,warning,region is missing
89327,completeness,core_field_missing,region,warning,region is missing
89674,completeness,core_field_missing,region,warning,region is missing
89994,completeness,core_field_missing,region,warning,region is missing
90320,completeness,core_field_missing,region,warning,region is missing
90367,completeness,core_field_missing,region,warning,region is missing
91182,completeness,core_field_missing,region,warning,region is missing
91612,completeness,core_field_missing,region,warning,region is missing
91620,completeness,core_field_missing,region,warning,region is missing
91787,completeness,core_field_missing,region,warning,region is missing
92061,completeness,core_field_missing,region,warning,region is missing
92540,completeness,core_field_missing,region,warning,region is missing
92634,completeness,core_field_missing,region,warning,region is missing
93370,completeness,core_field_missing,region,warning,region is missing
93853,completeness,core_field_missing,region,warning,region is missing
93987,completeness,core_field_missing,region,warning,region is missing
94001,completeness,core_field_missing,region,warning,region is missing
94284,completeness,core_field_missing,region,warning,region is missing
94463,completeness,core_field_missing,region,warning,region is missing
94639,completeness,core_field_missing,region,warning,region is missing
94699,completeness,core_field_missing,region,warning,region is missing
94923,completeness,core_field_missing,region,warning,region is missing
95092,completeness,core_field_missing,region,warning,region is missing
95118,completeness,core_field_missing,region,warning,region is missing
95261,completeness,core_field_missing,region,warning,region is missing
95489,completeness,core_field_missing,region,warning,region is missing
95524,completeness,core_field_missing,region,warning,region is missing
95634,completeness,core_field_missing,region,warning,region is missing
95963,completeness,core_field_missing,region,warning,region is missing
95976,completeness,core_field_missing,region,warning,region is missing
96038,completeness,core_field_missing,region,warning,region is missing
96079,completeness,core_field_missing,region,warning,region is missing
96097,completeness,core_field_missing,region,warning,region is missing
96109,completeness,core_field_missing,region,warning,region is missing
96304,completeness,core_field_missing,region,warning,region is missing
97005,completeness,core_field_missing,region,warning,region is missing
97207,completeness,core_field_missing,region,warning,region is missing
97296,completeness,core_field_missing,region,warning,region is missing
97467,completeness,core_field_missing,region,warning,region is missing
97499,completeness,core_field_missing,region,warning,region is missing
98003,completeness,core_field_missing,region,warning,region is missing
98090,completeness,core_field_missing,region,warning,region is missing
98107,completeness,core_field_missing,region,warning,region is missing
98166,completeness,core_field_missing,region,warning,region is missing
98263,completeness,core_field_missing,region,warning,region is missing
98661,completeness,core_field_missing,region,warning,region is missing
98953,completeness,core_field_missing,region,warning,region is missing
99045,completeness,core_field_missing,region,warning,region is missing
99210,completeness,core_field_missing,region,warning,region is missing
99284,completeness,core_field_missing,region,warning,region is missing
99417,completeness,core_field_missing,region,warning,region is missing
99501,completeness,core_field_missing,region,warning,region is missing
99720,completeness,core_field_missing,region,warning,region is missing
100120,completeness,core_field_missing,region,warning,region is missing
100361,completeness,core_field_missing,region,warning,region is missing
100830,completeness,core_field_missing,region,warning,region is missing
100935,completeness,core_field_missing,region,warning,region is missing
101078,completeness,core_field_missing,region,warning,region is missing
101353,completeness,core_field_missing,region,warning,region is missing
101419,completeness,core_field_missing,region,warning,region is missing
101658,completeness,core_field_missing,region,warning,region is missing
101843,completeness,core_field_missing,region,warning,region is missing
101884,completeness,core_field_missing,region,warning,region is missing
102006,completeness,core_field_missing,region,warning,region is missing
102008,completeness,core_field_missing,region,warning,region is missing
102196,completeness,core_field_missing,region,warning,region is missing
102200,completeness,core_field_missing,region,warning,region is missing
102216,completeness,core_field_missing,region,warning,region is missing
102219,completeness,core_field_missing,region,warning,region is missing
103066,completeness,core_field_missing,region,warning,region is missing
103410,completeness,core_field_missing,region,warning,region is missing
103536,completeness,core_field_missing,region,warning,region is missing
103556,completeness,core_field_missing,region,warning,region is missing
103572,completeness,core_field_missing,region,warning,region is missing
103602,completeness,core_field_missing,region,warning,region is missing
103678,completeness,core_field_missing,region,warning,region is missing
104272,completeness,core_field_missing,region,warning,region is missing
105226,completeness,core_field_missing,region,warning,region is missing
105274,completeness,core_field_missing,region,warning,region is missing
105296,completeness,core_field_missing,region,warning,region is missing
105346,completeness,core_field_missing,region,warning,region is missing
105380,completeness,core_field_missing,region,warning,region is missing
105478,completeness,core_field_missing,region,warning,region is missing
105558,completeness,core_field_missing,region,warning,region is missing
105591,completeness,core_field_missing,region,warning,region is missing
105703,completeness,core_field_missing,region,warning,region is missing
106352,completeness,core_field_missing,region,warning,region is missing
106386,completeness,core_field_missing,region,warning,region is missing
106402,completeness,core_field_missing,region,warning,region is missing
106784,completeness,core_field_missing,region,warning,region is missing
106817,completeness,core_field_missing,region,warning,region is missing
106879,completeness,core_field_missing,region,warning,region is missing
107047,completeness,core_field_missing,region,warning,region is missing
107752,completeness,core_field_missing,region,warning,region is missing
107952,completeness,core_field_missing,region,warning,region is missing
108176,completeness,core_field_missing,region,warning,region is missing
108178,completeness,core_field_missing,region,warning,region is missing
108349,completeness,core_field_missing,region,warning,region is missing
108523,completeness,core_field_missing,region,warning,region is missing
108921,completeness,core_field_missing,region,warning,region is missing
108944,completeness,core_field_missing,region,warning,region is missing
109231,completeness,core_field_missing,region,warning,region is missing
109322,completeness,core_field_missing,region,warning,region is missing
109427,completeness,core_field_missing,region,warning,region is missing
109802,completeness,core_field_missing,region,warning,region is missing
109924,completeness,core_field_missing,region,warning,region is missing
110034,completeness,core_field_missing,region,warning,region is missing
110062,completeness,core_field_missing,region,warning,region is missing
110455,completeness,core_field_missing,region,warning,region is missing
110505,completeness,core_field_missing,region,warning,region is missing
110766,completeness,core_field_missing,region,warning,region is missing
110966,completeness,core_field_missing,region,warning,region is missing
111070,completeness,core_field_missing,region,warning,region is missing
111115,completeness,core_field_missing,region,warning,region is missing
111372,completeness,core_field_missing,region,warning,region is missing
112158,completeness,core_field_missing,region,warning,region is missing
112227,completeness,core_field_missing,region,warning,region is missing
112945,completeness,core_field_missing,region,warning,region is missing
113086,completeness,core_field_missing,region,warning,region is missing
113180,completeness,core_field_missing,region,warning,region is missing
113268,completeness,core_field_missing,region,warning,region is missing
113705,completeness,core_field_missing,region,warning,region is missing
113895,completeness,core_field_missing,region,warning,region is missing
114348,completeness,core_field_missing,region,warning,region is missing
114632,completeness,core_field_missing,region,warning,region is missing
115122,completeness,core_field_missing,region,warning,region is missing
116135,completeness,core_field_missing,region,warning,region is missing
116561,completeness,core_field_missing,region,warning,region is missing
117938,completeness,core_field_missing,region,warning,region is missing
118153,completeness,core_field_missing,region,warning,region is missing
118191,completeness,core_field_missing,region,warning,region is missing
118400,completeness,core_field_missing,region,warning,region is missing
118899,completeness,core_field_missing,region,warning,region is missing
118979,completeness,core_field_missing,region,warning,region is missing
120182,completeness,core_field_missing,region,warning,region is missing
120474,completeness,core_field_missing,region,warning,region is missing
120560,completeness,core_field_missing,region,warning,region is missing
120592,completeness,core_field_missing,region,warning,region is missing
120760,completeness,core_field_missing,region,warning,region is missing
120913,completeness,core_field_missing,region,warning,region is missing
121203,completeness,core_field_missing,region,warning,region is missing
121429,completeness,core_field_missing,region,warning,region is missing
121507,completeness,core_field_missing,region,warning,region is missing
121754,completeness,core_field_missing,region,warning,region is missing
122144,completeness,core_field_missing,region,warning,region is missing
122320,completeness,core_field_missing,region,warning,region is missing
122364,completeness,core_field_missing,region,warning,region is missing
122473,completeness,core_field_missing,region,warning,region is missing
122488,completeness,core_field_missing,region,warning,region is missing
122868,completeness,core_field_missing,region,warning,region is missing
123189,completeness,core_field_missing,region,warning,region is missing
123559,completeness,core_field_missing,region,warning,region is missing
123572,completeness,core_field_missing,region,warning,region is missing
124062,completeness,core_field_missing,region,warning,region is missing
124210,completeness,core_field_missing,region,warning,region is missing
124398,completeness,core_field_missing,region,warning,region is missing
124476,completeness,core_field_missing,region,warning,region is missing
124728,completeness,core_field_missing,region,warning,region is missing
124828,completeness,core_field_missing,region,warning,region is missing
125204,completeness,core_field_missing,region,warning,region is missing
125381,completeness,core_field_missing,region,warning,region is missing
125749,completeness,core_field_missing,region,warning,region is missing
126019,completeness,core_field_missing,region,warning,region is missing
126216,completeness,core_field_missing,region,warning,region is missing
126371,completeness,core_field_missing,region,warning,region is missing
126541,completeness,core_field_missing,region,warning,region is missing
127097,completeness,core_field_missing,region,warning,region is missing
127120,completeness,core_field_missing,region,warning,region is missing
128098,completeness,core_field_missing,region,warning,region is missing
128357,completeness,core_field_missing,region,warning,region is missing
128563,completeness,core_field_missing,region,warning,region is missing
128654,completeness,core_field_missing,region,warning,region is missing
128672,completeness,core_field_missing,region,warning,region is missing
128738,completeness,core_field_missing,region,warning,region is missing
129012,completeness,core_field_missing,region,warning,region is missing
