OBJECTID,crashYear,crashFinancialYear,crashSeverity,fatalCount,seriousInjuryCount,minorInjuryCount,total_injury_count,highest_injury_signal,review_priority,region,tlaId,tlaName,areaUnitID,meshblockId,crashLocation1,crashLocation2,crashSHDescription,X,Y,speedLimit,NumberOfLanes,roadCharacter,roadLane,roadSurface,trafficControl,urban,flatHill,light,streetLight,weatherA,weatherB,crashDirectionDescription,directionRoleDescription
814465,2025,2025/2026,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Auckland Region,76,Auckland,525102,769200,MAHIA ROAD,VOLANTE AVENUE,No,1767915.2916,5899241.9222,50,2,Nil,2-way,Sealed,Give way,Urban,Null,Bright sun,Null,Fine,Null,Null,East
819408,2025,2025/2026,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Auckland Region,76,Auckland,515001,391601,CARRINGTON ROAD,GREAT NORTH ROAD,No,1752400.7019,5918049.0466,50,3,Nil,2-way,Sealed,Nil,Urban,Null,Bright sun,Null,Fine,Null,South,West
822448,2025,2024/2025,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Waikato Region,16,Hamilton City,529900,862700,RIVER ROAD,PIAKO ROAD,No,1801062.0773,5816089.605,50,2,Nil,2-way,Sealed,Nil,Urban,Null,Overcast,Null,Fine,Null,Null,North
829328,2025,2024/2025,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Auckland Region,76,Auckland,523112,711600,SPRINGS ROAD,KERWYN AVENUE,No,1768473.552,5909092.2227,50,5,Nil,2-way,Null,Nil,Urban,Null,Bright sun,Null,Fine,Null,South,North
832450,2024,2024/2025,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Canterbury Region,60,Christchurch City,587701,2480100,CURLETTS ROAD,TENSING PLACE,Yes,1565108.49,5179402.2323,50,4,Nil,2-way,Sealed,Nil,Urban,Null,Overcast,Null,Fine,Null,North,East
833784,2025,2024/2025,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Taranaki Region,33,New Plymouth District,550902,1563000,CORBETT ROAD,DE HAVILLAND DRIVE,No,1700709.9093,5678227.8794,70,2,Nil,2-way,Sealed,Give way,Urban,Null,Unknown,Null,Fine,Null,Null,North
835245,2025,2024/2025,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Wellington Region,45,Upper Hutt City,567100,1905900,QUEEN STREET,LOGAN STREET,No,1773990.2884,5445516.8248,50,2,Nil,2-way,Sealed,Give way,Urban,Flat,Overcast,Off,Light rain,Null,Null,West
836491,2025,2025/2026,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Canterbury Region,60,Christchurch City,595400,2646500,AYLMER STREET,COLOMBO STREET,No,1570667.1533,5176975.0723,50,2,Nil,2-way,Sealed,Give way,Urban,Null,Overcast,Null,Light rain,Null,Null,East
839568,2024,2024/2025,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Canterbury Region,60,Christchurch City,589400,2542800,CREYKE ROAD,KOTARE STREET,No,1566813.3232,5181091.6944,50,2,Nil,2-way,Sealed,Traffic Signals,Urban,Flat,Dark,On,Null,Null,Null,East
843129,2025,2025/2026,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Bay of Plenty Region,23,Tauranga City,537301,1161108,MILLERS ROAD,SOLOMON STREET,No,1875633.1421,5823837.1394,50,1,Nil,1-way,Sealed,Give way,Urban,Null,Overcast,Null,Fine,Null,Null,West
845938,2025,2024/2025,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Auckland Region,76,Auckland,507500,148701,EAST COAST ROAD,FORREST HILL ROAD,No,1756300.0012,5930753.2516,50,3,Nil,2-way,Sealed,Nil,Urban,Null,Dark,On,Fine,Null,North,North
848260,2022,2022/2023,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Canterbury Region,60,Christchurch City,595500,2628400,COLOMBO STREET,ASHGROVE TERRACE,No,1570677.2284,5176807.5829,50,2,Nil,2-way,Sealed,Give way,Urban,Flat,Overcast,Off,Fine,None,Null,North
859806,2023,2022/2023,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Canterbury Region,60,Christchurch City,591500,2649000,ST ASAPH STREET,DURHAM STREET SOUTH,No,1570404.471,5179551.643,50,3,Nil,1-way,Sealed,Traffic Signals,Urban,Flat,Overcast,Off,Light rain,None,Null,West
